,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,El Jicaro,8,GT,1551149843,69,14.91,-89.89,65.57,1.59
1,Broken Hill,20,AU,1551146400,13,-31.97,141.45,89.6,5.82
2,Avera,1,US,1551149822,70,33.19,-82.53,48.99,4.38
3,Avarua,0,CK,1551148200,65,-21.21,-159.78,82.4,13.87
4,Mayumba,92,GA,1551149849,100,-3.44,10.65,80.15,4.05
5,Constitucion,5,MX,1551145320,22,23.99,-104.67,68.0,24.16
6,Hilo,1,US,1551149783,53,19.71,-155.08,77.0,10.29
7,Longyearbyen,75,NO,1551149400,58,78.22,15.63,-2.21,2.24
8,Albany,90,US,1551149825,73,42.65,-73.75,26.6,19.46
9,Bethel,90,US,1551146160,74,60.79,-161.76,39.2,16.11
10,Arraial do Cabo,64,BR,1551149858,93,-22.97,-42.02,76.86,4.38
11,Barrow,32,AR,1551149859,69,-38.31,-60.23,48.33,11.32
12,Thompson,40,CA,1551146400,63,55.74,-97.86,-11.21,6.93
13,Ushuaia,75,AR,1551146400,81,-54.81,-68.31,44.6,18.34
14,Atuona,0,PF,1551149863,100,-9.8,-139.03,81.45,6.73
15,Grand Gaube,75,MU,1551149642,83,-20.01,57.66,80.6,6.93
16,Mehamn,0,NO,1551149866,81,71.03,27.85,16.11,3.38
17,Cape Town,75,ZA,1551149567,100,-33.93,18.42,69.01,12.75
18,Krasnyy Yar,92,RU,1551149868,94,50.7,44.73,26.28,7.52
19,Mataura,12,NZ,1551149406,63,-46.19,168.86,64.99,11.99
20,Port Alfred,88,ZA,1551149839,93,-33.59,26.89,69.01,7.0
21,Khatanga,36,RU,1551149872,49,71.98,102.47,-17.55,5.5
22,Saint-Philippe,90,CA,1551149831,61,45.36,-73.48,17.01,9.17
23,Vaini,0,IN,1551146400,59,15.34,74.49,62.6,2.26
24,Rikitea,80,PF,1551149876,100,-23.12,-134.97,80.42,11.43
25,Hermanus,56,ZA,1551149189,81,-34.42,19.24,70.0,1.01
26,Georgetown,20,GY,1551146400,94,6.8,-58.16,73.4,4.7
27,Seoul,1,KR,1551147600,38,37.57,126.98,44.6,3.36
28,Mattru,0,SL,1551149882,84,7.62,-11.83,75.92,4.27
29,Chico,90,US,1551149647,87,39.73,-121.84,51.01,17.22
30,Annau,90,TM,1551146400,75,37.89,58.52,42.8,2.24
31,Pevek,64,RU,1551149886,99,69.7,170.27,-9.14,7.74
32,Ornskoldsvik,0,SE,1551147600,65,63.29,18.72,44.6,23.04
33,Fort Nelson,75,CA,1551146400,85,58.81,-122.69,10.4,3.27
34,Tanete,20,ID,1551149890,81,-3.94,119.78,85.68,6.62
